Macht	мощь, сила, могущество, власть
ernennen	назначать (кем-л., на какую-л. должность); производить (в офицеры и т. п.); посвящать
beabsichtigen	задумывать, замышлять, намереваться
urteilen	судить
beneiden	завидовать
Trinkgeld	чаевые
Bargeld	наличные деньги
rutschen	скользить
Nachbarin	соседка
vereinbaren	согласовывать (с кем-л.)
austauschen	обменивать
Lehre	учение, инструкция
Leine	поводок, Лайне
verbrechen	провиниться
vergraben	закапывать, закопать
anfühlen	ощупывать
Taschentuch	носовой платок
Sau	свиноматка, свинья
auswendig	наизусть
leugnen	отрицать, оспаривать, отвергать
übertreffen	улучшать, увеличивать, превосходить
ausstehen	испытывать, терпеть, выносить (боль, страх и т. п.)
ausfüllen	заполнить
unterdrücken	сдерживать, удерживать
Geständnis	признание
Staatsanwalt	прокурор, обвинитель
deinetwegen	ради тебя
Drehbuch	сценарий
bemerkenswert	достойный внимания, замечательный
erkälten	простывать, простужаться, морозить, замораживать
bewerben	добиваться
senken	опускать, понижать
Blödmann	дурак
biegen	гнуть, сгибать, огибать, гнуться
erraten	угадать
Zettel	записка
Henker	палач
entsetzlich	ужа́сный, жу́ткий
Fahrstuhl	лифт
andauernd	продолжительный, длительный; постоянный
davonkommen	уйти, отделаться (от кого-л., от чего-л.)
Ernte	урожай
hinzu	вдобавок, к тому же
Sender	радиопередатчик
gönnen	позволить себе
Rente	пенсия, рента
begabt	одарённый, талантливый
Beleidigung	оскорбление
einpacken	упаковывать
Zerstörung	разрушение, разорение, опустошение, уничтожение, нарушение, порча
Geheimdienst	секретная служба
Fresse	морда животного
quatschen	болтать
Gans	гусь, гусыня, курица
Bogen	кривая, дуга, арка, свод
gefälligst	пожалуйста, если угодно
Versuchung	искушение
Fee	фея
umwerfend	поразительный; потрясающий, умопомрачительный
aufsetzen	надевать; насаживать; ставить (на что-л.)
berechnen	вычислять, исчислять; (с)калькулировать; подсчитывать, оценивать
lauschen	подслушивать, слушать
Vergebung	прощение
Gespenst	призрак, привидение
Kern	ядро, косточка, ядрышко, активная зона реактора
Gerede	злословие, сплетня
dazwischen	между этим
herbringen	приносить, приводить; привозить
erschlagen	убивать
gelassen	спокойный, невозмутимый, хладнокровный
Vermutung	догадка, предположение, допущение
wehen	веять, дуть, развеваться
Qual	мука
Seife	мыло
Handschrift	почерк
Manier	манера
aufwecken	(раз)будить
verspäten	опаздывать
Geste	жест, мышиный жест
blutig	кровавый
vorübergehend	временный
Gipfel	вершина, встреча на высшем уровне, саммит, верхушка
färben	красить
rückwärts	обратно, назад
Aufzeichnung	зарисовка, набросок
hierhin	сюда
Leber	печень
Bestellung	заказ, возделывание, доставка
Friseur	парикмахер
Kloster	монастырь, Клостер
Beamte	чиновник; служащий; государственный служащий, должностное лицо
Verpflichtung	обязанность, обязательство, договорённость, задолженность
Einrichtung	оборудование, учреждение учреждение социального назначения
Bemerkung	замечание
Enttäuschung	разочарование
Sammlung	коллекция
unerträglich	невыносимый
unter-	под-
Schildkröte	черепаха
vollbringen	совершать
fortgehen	уходить
Aufstand	бунт, восстание, мятеж
Rechtsanwalt	адвокат
schwitzen	потеть
Winkel	угол, треугольник
beschleunigen	ускорять, ускоряться, форсировать
Bildung	образование
Schüssel	миска
Umgang	обход; объезд
vorwerfen	бросать (вперёд)
umlegen	надевать, накидывать (пальто)
Unterwäsche	нижнее бельё
gestohlen	краденый, ворованный
Balkon	балкон
erpressen	принуждать, вымогать, шантажировать
anrühren	трогать (что-л., кого-л.), прикасаться, притрагиваться (к чему-л., к кому-л.)
Lastwagen	грузовик
zubereiten	готовить
Birne	груша, лампочка
reiben	тереть, натереть, протереть, вытереть
Schurke	негодяй, жулик, плут
Zuneigung	склонность, расположение
anzeigen	показывать
Betracht	употр. в сочетаниях: etw. außer Betracht lassen — не принимать что-л. во внимание [в расчёт], не учитывать что-л.; etw. in Betracht ziehen — принимать во внимание [в расчёт], учитывать что-л.
Flüchtling	беженец / беженка
überdenken	продумать, обдумать
Ameise	муравей
entziehen	лишать, избегать
Zeichnung	рисунок
befassen	ощупывать, трогать
verfallen	разрушаться, истекать
durchkommen	проходить, проезжать
hüten	оберегать, охранять, стеречь
gewalttätig	насильственный
Nachtisch	десерт
