Macht	мощь, сила, могущество, власть
bunt	красочный, пёстрый, разноцветный, яркий
Draht	провод
beitragen	содействовать (в чём-л.), способствовать (чему-л.), вносить свой вклад (во что-л.)
vorsehen	предусматривать, намечать; планировать
Pfote	лапа
pressen	прессовать
Klippe	утёс
Gunst	благосклонность, милость, покровительство, любезность
nebenbei	мимоходом
Lamm	ягнёнок, ягнятина
streben	направляться, стремиться
Dosis	доза
wegkommen	уходить; уезжать
Rind	крупный рогатый скот, говядина
ermutigen	ободрять, воодушевлять
schütten	сыпать, лить
Schnurrbart	усы
Parlament	собрание, парламент
Chefin	руководительница; начальница; владелица предприятия
Spinne	паук
Kaution	залог
amüsant	забавный
uralt	древний, древнейший
zurückzahlen	уплачивать, возвращать (долг)
Lippenstift	губная помада
Ampel	подвесной светильник, светофор, подвесной горшок
nachgeben	подать, добавить, уступать, соглашаться
Mandant	юр. мандант, доверитель
Abwechslung	перемена, развлечение, разнообразие
ungeduldig	нетерпеливый
hinweisen	обратить чьё-либо внимание на что-либо, напомнить кому-либо
